# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
33              	6.41021083e-02	1.91271056e-19	-5.75058466e-01	2.87529233e-01	1.81678306e-01	3.20510541e-02	3.19580287e-01	-2.55478179e-01	3.20510541e-02	-3.20510541e-02	-1.05850927e-01	-4.69207539e-01
34              	6.30830151e-02	1.90589886e-19	-5.94672425e-01	2.97336213e-01	1.87472994e-01	3.15415076e-02	3.28877720e-01	-2.65794705e-01	3.15415076e-02	-3.15415076e-02	-1.09863218e-01	-4.84809207e-01
35              	5.66600820e-02	1.89959549e-19	-5.47303309e-01	2.73651655e-01	1.68501778e-01	2.83300410e-02	3.01981696e-01	-2.45321614e-01	2.83300410e-02	-2.83300410e-02	-1.05149876e-01	-4.42153433e-01
36              	5.84520483e-02	1.89399309e-19	-5.56907989e-01	2.78453994e-01	1.76157851e-01	2.92260241e-02	3.07680018e-01	-2.49227970e-01	2.92260241e-02	-2.92260241e-02	-1.02296143e-01	-4.54611845e-01
37              	5.65060162e-02	1.88897448e-19	-5.26787555e-01	2.63393778e-01	1.68347661e-01	2.82530081e-02	2.91646786e-01	-2.35140769e-01	2.82530081e-02	-2.82530081e-02	-9.50461163e-02	-4.31741439e-01
38              	5.98243245e-02	1.88432531e-19	-5.30192218e-01	2.65096109e-01	1.75756398e-01	2.99121622e-02	2.95008271e-01	-2.35183947e-01	2.99121622e-02	-2.99121622e-02	-8.93397109e-02	-4.40852508e-01
39              	6.02365553e-02	1.87991503e-19	-5.37430330e-01	2.68715165e-01	1.81133061e-01	3.01182777e-02	2.98833443e-01	-2.38596887e-01	3.01182777e-02	-3.01182777e-02	-8.75821039e-02	-4.49848226e-01
40              	6.56740750e-02	1.87579224e-19	-5.53457179e-01	2.76728590e-01	1.95053983e-01	3.28370375e-02	3.09565627e-01	-2.43891552e-01	3.28370375e-02	-3.28370375e-02	-8.16746066e-02	-4.71782573e-01
41              	6.83705140e-02	1.87175403e-19	-5.78137560e-01	2.89068780e-01	2.06701298e-01	3.41852570e-02	3.23254037e-01	-2.54883523e-01	3.41852570e-02	-3.41852570e-02	-8.23674814e-02	-4.95770078e-01
42              	7.30142270e-02	1.86804309e-19	-5.96838773e-01	2.98419386e-01	2.19488254e-01	3.65071135e-02	3.34926500e-01	-2.61912273e-01	3.65071135e-02	-3.65071135e-02	-7.89311325e-02	-5.17907640e-01
