# ccx tau_xx tau_yy tau_zz cp yplus
0.15514 -0.000140406 1.88717e-05 -7.34684e-40 -3.53649 4.55818
0.152074 -0.000153446 2.23004e-05 -6.325e-44 -3.63902 4.80144
0.149043 -0.000166272 2.90003e-05 1.32243e-38 -3.41141 5.06978
0.146051 -0.000151346 2.66515e-05 3.18744e-21 -3.26164 4.88141
0.143089 -0.000140002 2.46081e-05 0 -3.14062 4.73518
0.140156 -0.000134764 2.40405e-05 -6.55639e-24 -3.08069 4.68594
0.137251 -0.000144942 2.71658e-05 1.61488e-21 -3.11517 4.90452
0.134383 -0.000148603 3.09812e-05 1.60751e-21 -2.89147 5.02375
0.131551 -0.000133101 2.73327e-05 -1.63881e-21 -2.78966 4.79653
0.128747 -0.000125405 2.60004e-05 -1.70067e-21 -2.69587 4.69978
0.125971 -0.00012576 2.67768e-05 1.68833e-21 -2.68055 4.75143
0.123226 -0.000136875 3.09331e-05 -1.6208e-21 -2.65514 5.00631
0.12052 -0.000136071 3.30741e-05 4.59177e-41 -2.46308 5.04016
0.11785 -0.000122458 2.96421e-05 -1.64583e-21 -2.3628 4.82795
0.115207 -0.000116271 2.85671e-05 -6.65184e-24 -2.27917 4.75278
0.112592 -0.000118583 2.96625e-05 2.32517e-28 -2.26799 4.84846
0.110008 -0.000125754 3.27629e-05 0 -2.19036 5.03742
0.107463 -0.000120743 3.32327e-05 -1.63277e-21 -2.0481 4.98184
0.104951 -0.000110645 3.05347e-05 -2.93874e-39 -1.95824 4.81807
0.102466 -0.000105917 2.9641e-05 3.44344e-21 -1.88788 4.76412
0.100007 -0.000108313 3.04607e-05 0 -1.87289 4.86657
0.0975819 -0.000111887 3.29786e-05 1.67461e-21 -1.78293 4.98745
0.095194 -0.000105233 3.18427e-05 3.3603e-21 -1.68196 4.87925
0.0928364 -9.76e-05 2.97787e-05 1.73125e-21 -1.60846 4.7488
0.0905048 -9.44537e-05 2.93178e-05 7.34684e-39 -1.55494 4.72222
0.088199 -9.9188e-05 3.08746e-05 3.36211e-21 -1.55333 4.88817
0.0859272 -0.000103436 3.40326e-05 3.27658e-24 -1.45749 5.02399
0.0836936 -9.65351e-05 3.2427e-05 1.6827e-21 -1.36751 4.89331
0.0814911 -9.01897e-05 3.05792e-05 -1.69573e-24 -1.2983 4.78096
0.0793154 -8.7144e-05 2.99481e-05 -1.76254e-21 -1.2469 4.75065
0.0771646 -8.88667e-05 3.06102e-05 -2.93874e-39 -1.22509 4.84633
0.075045 -9.01463e-05 3.21992e-05 -1.68032e-24 -1.15093 4.91259
0.0729595 -8.48945e-05 3.0658e-05 1.69524e-24 -1.08373 4.80739
0.0709033 -8.01372e-05 2.91914e-05 -5.46421e-39 -1.02862 4.7202
0.0688733 -7.77229e-05 2.87008e-05 -2.93874e-39 -0.987338 4.6983
0.0668673 -7.89607e-05 2.93237e-05 1.76061e-21 -0.96788 4.7835
0.0648919 -7.9811e-05 3.03308e-05 -8.60139e-25 -0.908899 4.83531
0.0629507 -7.53568e-05 2.89161e-05 -1.46937e-38 -0.856314 4.73662
0.0610372 -7.15869e-05 2.77879e-05 1.82153e-21 -0.812632 4.66489
0.059148 -7.05432e-05 2.78241e-05 1.81277e-21 -0.781106 4.67965
0.0572845 -7.37462e-05 2.91466e-05 -1.74026e-21 -0.771736 4.83085
0.0554536 -7.60073e-05 3.10492e-05 1.74208e-21 -0.713701 4.91929
0.0536584 -7.17639e-05 2.96621e-05 1.75778e-21 -0.661081 4.81264
0.0518917 -6.80364e-05 2.83661e-05 -2.23398e-27 -0.617774 4.73358
0.0501494 -6.5907e-05 2.78187e-05 -1.17549e-38 -0.583373 4.70689
0.0484318 -6.58953e-05 2.79942e-05 -3.60728e-21 -0.562661 4.75231
0.0467424 -6.58978e-05 2.83049e-05 -8.82308e-25 -0.521851 4.77695
0.0450835 -6.2842e-05 2.71642e-05 3.65654e-21 -0.48456 4.69976
0.0434517 -6.01404e-05 2.62224e-05 -5.87747e-39 -0.45307 4.64229
0.0418445 -5.88743e-05 2.59647e-05 1.83103e-24 -0.42856 4.63808
0.0402618 -5.96002e-05 2.64203e-05 -3.58458e-24 -0.41549 4.70957
0.0387078 -6.00111e-05 2.69147e-05 -2.56273e-28 -0.3811 4.74195
0.0371857 -5.70449e-05 2.57652e-05 -1.86548e-21 -0.350448 4.6533
0.0356904 -5.44542e-05 2.47856e-05 -1.91092e-21 -0.325501 4.58847
0.0342195 -5.3415e-05 2.45741e-05 -1.87714e-24 -0.307013 4.58715
0.0327735 -5.42914e-05 2.50976e-05 1.87482e-21 -0.297988 4.66568
0.0313565 -5.50501e-05 2.58372e-05 -1.88487e-21 -0.269522 4.71046
0.0299706 -5.31797e-05 2.53566e-05 -9.4701e-22 -0.246235 4.66273
0.0286115 -5.27259e-05 2.57774e-05 9.31681e-22 -0.22657 4.69256
0.0272775 -5.47239e-05 2.76718e-05 8.81481e-22 -0.210788 4.83592
0.0259681 -5.96038e-05 3.11013e-05 -2.93874e-39 -0.200764 5.10499
0.0246863 -6.59763e-05 3.60114e-05 -2.93874e-39 -0.174846 5.40974
0.0234339 -7.26745e-05 4.10046e-05 6.82949e-22 -0.154771 5.73635
0.0222078 -8.10225e-05 4.7098e-05 -5.87747e-39 -0.137107 6.12404
0.0210066 -9.14971e-05 5.3834e-05 -5.58572e-22 -0.143126 6.56674
0.0198298 -0.00010485 6.27777e-05 1.32243e-38 -0.202904 7.10445
0.0971938 -2.73246e-05 -2.43158e-06 1.43273e-21 -0.376109 22.3081
0.1189 -2.85683e-05 -2.20184e-06 5.78459e-27 -0.329736 22.6289
0.140637 -2.93105e-05 -1.91752e-06 -4.10313e-23 -0.317288 22.7285
0.162402 -2.89007e-05 -1.48588e-06 0 -0.294983 22.4068
0.184181 -2.8026e-05 -1.13015e-06 -1.32456e-21 -0.25869 21.9708
0.205967 -2.7431e-05 -1.00355e-06 -6.69274e-22 -0.232446 21.6819
0.227755 -2.7094e-05 -9.41465e-07 1.37753e-39 -0.217233 21.5085
0.249544 -2.69478e-05 -9.27592e-07 -1.2857e-39 -0.206475 21.4207
0.271334 -2.70015e-05 -9.22584e-07 -6.61063e-22 -0.202714 21.4112
0.293125 -2.70422e-05 -8.65689e-07 -7.065e-22 -0.204212 21.3884
0.314918 -2.68765e-05 -7.52156e-07 3.22721e-22 -0.20374 21.2827
0.336715 -2.65466e-05 -6.21193e-07 1.08221e-23 -0.199763 21.118
0.358513 -2.61636e-05 -4.98802e-07 1.08904e-23 -0.194712 20.9387
0.380314 -2.5792e-05 -3.90186e-07 1.09545e-23 -0.189664 20.7696
0.402115 -2.54563e-05 -2.93799e-07 -1.10089e-23 -0.185202 20.6194
0.423917 -2.51596e-05 -2.05793e-07 5.52755e-24 -0.181359 20.4889
0.44572 -2.48384e-05 -1.04017e-07 -5.54707e-24 -0.178109 20.3515
0.467522 -2.44319e-05 8.10959e-09 -4.45403e-23 -0.173041 20.1829
0.489325 -2.40032e-05 1.05271e-07 8.94291e-23 -0.166004 20.0085
0.511127 -2.36386e-05 1.89594e-07 -1.85086e-22 -0.159467 19.8631
0.532928 -2.33029e-05 2.68191e-07 1.74339e-22 -0.154257 19.7332
0.554728 -2.28873e-05 3.53396e-07 -3.49606e-22 -0.148302 19.5738
0.576527 -2.23744e-05 4.3349e-07 -9.18355e-41 -0.139539 19.375
0.598323 -2.18604e-05 4.99875e-07 -1.83671e-40 -0.129206 19.1755
0.620118 -2.13805e-05 5.60389e-07 3.64666e-22 -0.119556 18.9919
0.64191 -2.08525e-05 6.22881e-07 -7.31649e-22 -0.109682 18.7901
0.663698 -2.01775e-05 6.8491e-07 -1.85257e-28 -0.0973958 18.5249
0.685482 -1.92817e-05 7.35915e-07 1.74487e-39 -0.0812316 18.1572
0.707259 -1.81198e-05 7.53159e-07 7.22211e-22 -0.0599114 17.6526
0.729033 -1.67712e-05 7.15914e-07 -7.31567e-22 -0.0328136 17.0225
0.750808 -1.55411e-05 6.12985e-07 -7.19349e-22 -0.00287248 16.3992
0.77259 -1.46413e-05 4.46504e-07 -4.87004e-23 0.0232061 15.8999
0.794382 -1.40644e-05 2.45025e-07 3.94624e-22 0.0448548 15.5281
0.816181 -1.4078e-05 1.1109e-08 -1.24346e-23 0.0627913 15.4166
0.83798 -1.449e-05 -2.60998e-07 -3.46468e-22 0.0669224 15.4979
0.859763 -1.54687e-05 -6.2741e-07 6.86676e-22 0.0681934 15.7878
0.881515 -1.69895e-05 -1.07462e-06 4.90285e-23 0.0489624 16.3054
0.903221 -1.87322e-05 -1.58721e-06 -1.55852e-21 0.0227967 16.8263
0.924866 -2.15057e-05 -2.21444e-06 -3.13391e-21 -0.0136916 17.6618
0.94644 -2.46813e-05 -2.93566e-06 4.69124e-23 -0.0890643 18.5302
0.967935 -3.26626e-05 -4.14587e-06 3.26601e-26 -0.169687 20.8377
0.98933 -3.4608e-05 -1.83761e-06 2.83603e-38 -0.463414 23.4599
0.0154181 -5.99402e-05 -4.52213e-05 6.86565e-27 -1.03631 43.4017
0.0181243 -6.86543e-05 -4.57398e-05 -1.34615e-22 -1.0214 44.6533
0.021438 -6.91558e-05 -4.09172e-05 -2.7063e-22 -1.50265 40.0883
0.0254529 -5.64027e-05 -2.5005e-05 1.47696e-22 -1.06562 34.4011
0.0301062 -4.54841e-05 -1.4234e-05 3.16808e-22 -0.793207 29.4839
0.0354171 -3.63616e-05 -8.06941e-06 1.73798e-22 -0.635959 25.8641
0.0413532 -3.03742e-05 -5.66491e-06 1.88765e-22 -0.531603 23.6169
0.0479434 -2.69869e-05 -4.31912e-06 -4.45142e-22 -0.496458 22.2115
0.0552626 -2.52391e-05 -3.38652e-06 -3.07842e-22 -0.459004 21.4824
0.0633252 -2.51447e-05 -3.03475e-06 -4.66676e-22 -0.425617 21.4762
0.0720891 -2.51292e-05 -2.69896e-06 4.61356e-22 -0.413463 21.4432
0.0814957 -2.58274e-05 -2.63659e-06 -4.94023e-22 -0.374244 21.8502
8.967e-05 -3.30739e-06 -5.68567e-06 0 0.945962 10.9941
0.00026901 -4.03707e-06 -8.64906e-06 1.60249e-23 0.91075 13.3875
0.000520811 -4.83751e-06 -1.20504e-05 5.82631e-23 0.845425 16.0393
0.000863667 -6.26021e-06 -1.54148e-05 -5.32429e-23 0.775475 18.2211
0.00122512 -8.73416e-06 -1.99428e-05 2.4317e-23 0.686581 20.8222
0.00168857 -1.14579e-05 -2.54281e-05 -9.29744e-23 0.537187 24.1276
0.00234949 -1.38238e-05 -2.86408e-05 0 0.404001 26.1078
0.00310587 -1.71872e-05 -3.16959e-05 -2.93874e-39 0.337637 27.904
0.0039264 -2.05094e-05 -3.55501e-05 -8.24217e-23 0.181108 30.0971
0.00481762 -2.45591e-05 -3.80415e-05 1.09984e-26 0.066059 31.873
