# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
171             	5.94404080e-02	-9.55510013e-19	-3.94122136e-01	1.97061068e-01	2.04216701e-01	2.97202040e-02	2.26781272e-01	-1.67340864e-01	2.97202040e-02	-2.97202040e-02	7.15563291e-03	-4.01277769e-01
172             	5.92886782e-02	-9.55505588e-19	-3.94220726e-01	1.97110363e-01	2.04273383e-01	2.96443391e-02	2.26754702e-01	-1.67466024e-01	2.96443391e-02	-2.96443391e-02	7.16301996e-03	-4.01383746e-01
173             	5.91401213e-02	-9.55501691e-19	-3.94272488e-01	1.97136244e-01	2.04308061e-01	2.95700607e-02	2.26706304e-01	-1.67566183e-01	2.95700607e-02	-2.95700607e-02	7.17181684e-03	-4.01444304e-01
174             	5.89863866e-02	-9.55497581e-19	-3.94366646e-01	1.97183323e-01	2.04354308e-01	2.94931933e-02	2.26676516e-01	-1.67690129e-01	2.94931933e-02	-2.94931933e-02	7.17098492e-03	-4.01537630e-01
175             	5.88383041e-02	-9.55493906e-19	-3.94415704e-01	1.97207852e-01	2.04379216e-01	2.94191521e-02	2.26627004e-01	-1.67788700e-01	2.94191521e-02	-2.94191521e-02	7.17136453e-03	-4.01587068e-01
176             	5.86920944e-02	-9.55489951e-19	-3.94509878e-01	1.97254939e-01	2.04418773e-01	2.93460472e-02	2.26600986e-01	-1.67908892e-01	2.93460472e-02	-2.93460472e-02	7.16383404e-03	-4.01673712e-01
177             	5.85515822e-02	-9.55486567e-19	-3.94558479e-01	1.97279240e-01	2.04437086e-01	2.92757911e-02	2.26555031e-01	-1.68003449e-01	2.92757911e-02	-2.92757911e-02	7.15784601e-03	-4.01716325e-01
178             	5.84077879e-02	-9.55482851e-19	-3.94656957e-01	1.97328478e-01	2.04472437e-01	2.92038939e-02	2.26532372e-01	-1.68124585e-01	2.92038939e-02	-2.92038939e-02	7.14395858e-03	-4.01800916e-01
179             	5.82673781e-02	-9.55479766e-19	-3.94711070e-01	1.97355535e-01	2.04486852e-01	2.91336890e-02	2.26489224e-01	-1.68221846e-01	2.91336890e-02	-2.91336890e-02	7.13131746e-03	-4.01842387e-01
180             	5.81135032e-02	-9.55477096e-19	-3.94841521e-01	1.97420761e-01	2.04530167e-01	2.90567516e-02	2.26477512e-01	-1.68364009e-01	2.90567516e-02	-2.90567516e-02	7.10940679e-03	-4.01950928e-01
181             	5.79681333e-02	-9.55475050e-19	-3.94882052e-01	1.97441026e-01	2.04530700e-01	2.89840666e-02	2.26425093e-01	-1.68456960e-01	2.89840666e-02	-2.89840666e-02	7.08967421e-03	-4.01971727e-01
182             	5.78233204e-02	-9.55472496e-19	-3.94991471e-01	1.97495735e-01	2.04559269e-01	2.89116602e-02	2.26407396e-01	-1.68584075e-01	2.89116602e-02	-2.89116602e-02	7.06353337e-03	-4.02055004e-01
183             	5.76864480e-02	-9.55469906e-19	-3.95072437e-01	1.97536218e-01	2.04575575e-01	2.88432240e-02	2.26379442e-01	-1.68692994e-01	2.88432240e-02	-2.88432240e-02	7.03935629e-03	-4.02111793e-01
184             	5.75513464e-02	-9.55466994e-19	-3.95204273e-01	1.97602136e-01	2.04610873e-01	2.87756732e-02	2.26377810e-01	-1.68826463e-01	2.87756732e-02	-2.87756732e-02	7.00873626e-03	-4.02213009e-01
185             	5.74223919e-02	-9.55464500e-19	-3.95295638e-01	1.97647819e-01	2.04627262e-01	2.87111960e-02	2.26359015e-01	-1.68936623e-01	2.87111960e-02	-2.87111960e-02	6.97944292e-03	-4.02275081e-01
186             	5.72919151e-02	-9.55461712e-19	-3.95439764e-01	1.97719882e-01	2.04664559e-01	2.86459576e-02	2.26365840e-01	-1.69073925e-01	2.86459576e-02	-2.86459576e-02	6.94467686e-03	-4.02384441e-01
187             	5.71653103e-02	-9.55459305e-19	-3.95551572e-01	1.97775786e-01	2.04686116e-01	2.85826552e-02	2.26358441e-01	-1.69193131e-01	2.85826552e-02	-2.85826552e-02	6.91032980e-03	-4.02461902e-01
188             	5.70391389e-02	-9.55456618e-19	-3.95717345e-01	1.97858672e-01	2.04729140e-01	2.85195695e-02	2.26378242e-01	-1.69339103e-01	2.85195695e-02	-2.85195695e-02	6.87046792e-03	-4.02587813e-01
189             	5.69152151e-02	-9.55454339e-19	-3.95847413e-01	1.97923706e-01	2.04755280e-01	2.84576075e-02	2.26381314e-01	-1.69466099e-01	2.84576075e-02	-2.84576075e-02	6.83157334e-03	-4.02678986e-01
190             	5.67923849e-02	-9.55451735e-19	-3.96025842e-01	1.98012921e-01	2.04801332e-01	2.83961924e-02	2.26409113e-01	-1.69616728e-01	2.83961924e-02	-2.83961924e-02	6.78841098e-03	-4.02814253e-01
191             	5.66737744e-02	-9.55449538e-19	-3.96170168e-01	1.98085084e-01	2.04830168e-01	2.83368872e-02	2.26421971e-01	-1.69748197e-01	2.83368872e-02	-2.83368872e-02	6.74508361e-03	-4.02915251e-01
192             	5.65540624e-02	-9.55447011e-19	-3.96373057e-01	1.98186529e-01	2.04883195e-01	2.82770312e-02	2.26463560e-01	-1.69909497e-01	2.82770312e-02	-2.82770312e-02	6.69666607e-03	-4.03069723e-01
193             	5.64370688e-02	-9.55444908e-19	-3.96538675e-01	1.98269338e-01	2.04917849e-01	2.82185344e-02	2.26487872e-01	-1.70050803e-01	2.82185344e-02	-2.82185344e-02	6.64851137e-03	-4.03187187e-01
194             	5.63223201e-02	-9.55442580e-19	-3.96757093e-01	1.98378547e-01	2.04974482e-01	2.81611601e-02	2.26539707e-01	-1.70217387e-01	2.81611601e-02	-2.81611601e-02	6.59593509e-03	-4.03353029e-01
195             	5.62090455e-02	-9.55440609e-19	-3.96942390e-01	1.98471195e-01	2.05014700e-01	2.81045227e-02	2.26575718e-01	-1.70366672e-01	2.81045227e-02	-2.81045227e-02	6.54350560e-03	-4.03485895e-01
196             	5.60978081e-02	-9.55438337e-19	-3.97180796e-01	1.98590398e-01	2.05077744e-01	2.80489041e-02	2.26639302e-01	-1.70541494e-01	2.80489041e-02	-2.80489041e-02	6.48734604e-03	-4.03668142e-01
197             	5.59885846e-02	-9.55436327e-19	-3.97390527e-01	1.98695263e-01	2.05125772e-01	2.79942923e-02	2.26689556e-01	-1.70700971e-01	2.79942923e-02	-2.79942923e-02	6.43050814e-03	-4.03821035e-01
198             	5.58803073e-02	-9.55434070e-19	-3.97652485e-01	1.98826242e-01	2.05195744e-01	2.79401536e-02	2.26766396e-01	-1.70886089e-01	2.79401536e-02	-2.79401536e-02	6.36950144e-03	-4.04021986e-01
199             	5.57762848e-02	-9.55432145e-19	-3.97883835e-01	1.98941917e-01	2.05249505e-01	2.78881424e-02	2.26830060e-01	-1.71053775e-01	2.78881424e-02	-2.78881424e-02	6.30758735e-03	-4.04191422e-01
200             	5.56744632e-02	-9.55429940e-19	-3.98162422e-01	1.99081211e-01	2.05323718e-01	2.78372316e-02	2.26918443e-01	-1.71243979e-01	2.78372316e-02	-2.78372316e-02	6.24250749e-03	-4.04404929e-01
201             	5.55734088e-02	-9.55427970e-19	-3.98416426e-01	1.99208213e-01	2.05383790e-01	2.77867044e-02	2.26994917e-01	-1.71421508e-01	2.77867044e-02	-2.77867044e-02	6.17557687e-03	-4.04592003e-01
202             	5.54731315e-02	-9.55425846e-19	-3.98713884e-01	1.99356942e-01	2.05461711e-01	2.77365657e-02	2.27093508e-01	-1.71620376e-01	2.77365657e-02	-2.77365657e-02	6.10476918e-03	-4.04818653e-01
203             	5.53733313e-02	-9.55423938e-19	-3.98980131e-01	1.99490066e-01	2.05523156e-01	2.76866657e-02	2.27176731e-01	-1.71803400e-01	2.76866657e-02	-2.76866657e-02	6.03309008e-03	-4.05013221e-01
204             	5.52758985e-02	-9.55421655e-19	-3.99299983e-01	1.99649991e-01	2.05608527e-01	2.76379492e-02	2.27287941e-01	-1.72012042e-01	2.76379492e-02	-2.76379492e-02	5.95853570e-03	-4.05258518e-01
205             	5.51796895e-02	-9.55419658e-19	-3.99592429e-01	1.99796214e-01	2.05678509e-01	2.75898447e-02	2.27386059e-01	-1.72206370e-01	2.75898447e-02	-2.75898447e-02	5.88229439e-03	-4.05474723e-01
206             	5.50878998e-02	-9.55418056e-19	-3.99852328e-01	1.99926164e-01	2.05728728e-01	2.75439499e-02	2.27470114e-01	-1.72382214e-01	2.75439499e-02	-2.75439499e-02	5.80256424e-03	-4.05654892e-01
207             	5.49887398e-02	-9.55416057e-19	-4.00183158e-01	2.00091579e-01	2.05809152e-01	2.74943699e-02	2.27585949e-01	-1.72597209e-01	2.74943699e-02	-2.74943699e-02	5.71757271e-03	-4.05900730e-01
208             	5.48993308e-02	-9.55413895e-19	-4.00507850e-01	2.00253925e-01	2.05887806e-01	2.74496654e-02	2.27703590e-01	-1.72804260e-01	2.74496654e-02	-2.74496654e-02	5.63388137e-03	-4.06141731e-01
209             	5.48095885e-02	-9.55411523e-19	-4.00879372e-01	2.00439686e-01	2.05987640e-01	2.74047943e-02	2.27844480e-01	-1.73034892e-01	2.74047943e-02	-2.74047943e-02	5.54795395e-03	-4.06427326e-01
210             	5.47252683e-02	-9.55409469e-19	-4.01219684e-01	2.00609842e-01	2.06070411e-01	2.73626342e-02	2.27972476e-01	-1.73247208e-01	2.73626342e-02	-2.73626342e-02	5.46056959e-03	-4.06680253e-01
211             	5.46391251e-02	-9.55407507e-19	-4.01602922e-01	2.00801461e-01	2.06169729e-01	2.73195625e-02	2.28121024e-01	-1.73481899e-01	2.73195625e-02	-2.73195625e-02	5.36826804e-03	-4.06971190e-01
212             	5.45564144e-02	-9.55405815e-19	-4.01952094e-01	2.00976047e-01	2.06251514e-01	2.72782072e-02	2.28254254e-01	-1.73697840e-01	2.72782072e-02	-2.72782072e-02	5.27546730e-03	-4.07227562e-01
