# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
181             	8.65384651e-02	-2.84328091e-19	-8.12674495e-01	4.06337247e-01	3.60016430e-01	4.32692325e-02	4.49606480e-01	-3.63068015e-01	4.32692325e-02	-4.32692325e-02	-4.63208178e-02	-7.66353677e-01
182             	8.65273898e-02	-2.84287122e-19	-8.13943564e-01	4.06971782e-01	3.60346468e-01	4.32636949e-02	4.50235477e-01	-3.63708087e-01	4.32636949e-02	-4.32636949e-02	-4.66253141e-02	-7.67318249e-01
183             	8.65184496e-02	-2.84248490e-19	-8.15193990e-01	4.07596995e-01	3.60673711e-01	4.32592248e-02	4.50856220e-01	-3.64337770e-01	4.32592248e-02	-4.32592248e-02	-4.69232847e-02	-7.68270706e-01
184             	8.64995837e-02	-2.84205207e-19	-8.16341440e-01	4.08170720e-01	3.60965297e-01	4.32497919e-02	4.51420512e-01	-3.64920928e-01	4.32497919e-02	-4.32497919e-02	-4.72054229e-02	-7.69136017e-01
185             	8.64837244e-02	-2.84160222e-19	-8.17555709e-01	4.08777855e-01	3.61282711e-01	4.32418622e-02	4.52019717e-01	-3.65535992e-01	4.32418622e-02	-4.32418622e-02	-4.74951438e-02	-7.70060566e-01
186             	8.64654812e-02	-2.84107128e-19	-8.18742105e-01	4.09371053e-01	3.61590978e-01	4.32327406e-02	4.52603793e-01	-3.66138312e-01	4.32327406e-02	-4.32327406e-02	-4.77800750e-02	-7.70962030e-01
187             	8.64471351e-02	-2.84056658e-19	-8.19975385e-01	4.09987693e-01	3.61911873e-01	4.32235676e-02	4.53211260e-01	-3.66764125e-01	4.32235676e-02	-4.32235676e-02	-4.80758201e-02	-7.71899565e-01
188             	8.64129372e-02	-2.84010792e-19	-8.21105837e-01	4.10552919e-01	3.62189596e-01	4.32064686e-02	4.53759387e-01	-3.67346450e-01	4.32064686e-02	-4.32064686e-02	-4.83633231e-02	-7.72742514e-01
189             	8.63664393e-02	-2.83963159e-19	-8.22205228e-01	4.11102614e-01	3.62447002e-01	4.31832196e-02	4.54285834e-01	-3.67919394e-01	4.31832196e-02	-4.31832196e-02	-4.86556122e-02	-7.73549616e-01
190             	8.63168673e-02	-2.83900605e-19	-8.23266787e-01	4.11633394e-01	3.62685836e-01	4.31584337e-02	4.54791827e-01	-3.68474960e-01	4.31584337e-02	-4.31584337e-02	-4.89475572e-02	-7.74319230e-01
191             	8.62731058e-02	-2.83838828e-19	-8.24393629e-01	4.12196814e-01	3.62952304e-01	4.31365529e-02	4.55333367e-01	-3.69060262e-01	4.31365529e-02	-4.31365529e-02	-4.92445106e-02	-7.75149118e-01
192             	8.62381435e-02	-2.83772698e-19	-8.25548823e-01	4.12774411e-01	3.63240040e-01	4.31190717e-02	4.55893483e-01	-3.69655340e-01	4.31190717e-02	-4.31190717e-02	-4.95343717e-02	-7.76014451e-01
193             	8.62088188e-02	-2.83715787e-19	-8.26761508e-01	4.13380754e-01	3.63565922e-01	4.31044094e-02	4.56485163e-01	-3.70276345e-01	4.31044094e-02	-4.31044094e-02	-4.98148319e-02	-7.76946676e-01
194             	8.61761877e-02	-2.83657589e-19	-8.27844089e-01	4.13922044e-01	3.63846916e-01	4.30880939e-02	4.57010138e-01	-3.70833950e-01	4.30880939e-02	-4.30880939e-02	-5.00751280e-02	-7.77768961e-01
195             	8.61309710e-02	-2.83601720e-19	-8.28851132e-01	4.14425566e-01	3.64095382e-01	4.30654855e-02	4.57491051e-01	-3.71360080e-01	4.30654855e-02	-4.30654855e-02	-5.03301836e-02	-7.78520948e-01
196             	8.60871291e-02	-2.83543950e-19	-8.29851585e-01	4.14925793e-01	3.64332818e-01	4.30435646e-02	4.57969357e-01	-3.71882228e-01	4.30435646e-02	-4.30435646e-02	-5.05929742e-02	-7.79258611e-01
197             	8.60483340e-02	-2.83485875e-19	-8.30955119e-01	4.15477559e-01	3.64618079e-01	4.30241670e-02	4.58501726e-01	-3.72453392e-01	4.30241670e-02	-4.30241670e-02	-5.08594802e-02	-7.80095639e-01
198             	8.60106670e-02	-2.83425059e-19	-8.31975877e-01	4.15987938e-01	3.64883357e-01	4.30053335e-02	4.58993272e-01	-3.72982605e-01	4.30053335e-02	-4.30053335e-02	-5.11045820e-02	-7.80871295e-01
199             	8.59695985e-02	-2.83369221e-19	-8.33018535e-01	4.16509267e-01	3.65147978e-01	4.29847993e-02	4.59494067e-01	-3.73524468e-01	4.29847993e-02	-4.29847993e-02	-5.13612897e-02	-7.81657245e-01
200             	8.59231077e-02	-2.83311730e-19	-8.34164038e-01	4.17082019e-01	3.65431059e-01	4.29615538e-02	4.60043573e-01	-3.74120465e-01	4.29615538e-02	-4.29615538e-02	-5.16509599e-02	-7.82513078e-01
201             	8.58754579e-02	-2.83255306e-19	-8.35110530e-01	4.17555265e-01	3.65647142e-01	4.29377289e-02	4.60492994e-01	-3.74617536e-01	4.29377289e-02	-4.29377289e-02	-5.19081237e-02	-7.83202407e-01
202             	8.58342577e-02	-2.83201123e-19	-8.36086377e-01	4.18043189e-01	3.65877590e-01	4.29171288e-02	4.60960317e-01	-3.75126060e-01	4.29171288e-02	-4.29171288e-02	-5.21655987e-02	-7.83920778e-01
