# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
161             	1.01435578e-01	1.73147434e-19	-8.06245063e-01	4.03122532e-01	3.51090859e-01	5.07177891e-02	4.53840321e-01	-3.52404742e-01	5.07177891e-02	-5.07177891e-02	-5.20316726e-02	-7.54213391e-01
162             	1.01329911e-01	1.73079573e-19	-8.06413312e-01	4.03206656e-01	3.51196826e-01	5.06649555e-02	4.53871611e-01	-3.52541700e-01	5.06649555e-02	-5.06649555e-02	-5.20098297e-02	-7.54403482e-01
163             	1.01397972e-01	1.73012174e-19	-8.06480785e-01	4.03240392e-01	3.51306890e-01	5.06989861e-02	4.53939378e-01	-3.52541406e-01	5.06989861e-02	-5.06989861e-02	-5.19335024e-02	-7.54547282e-01
164             	1.01302990e-01	1.72944081e-19	-8.06705993e-01	4.03352996e-01	3.51441320e-01	5.06514950e-02	4.54004491e-01	-3.52701501e-01	5.06514950e-02	-5.06514950e-02	-5.19116762e-02	-7.54794316e-01
165             	1.01374256e-01	1.72877192e-19	-8.06653461e-01	4.03326731e-01	3.51521959e-01	5.06871279e-02	4.54013858e-01	-3.52639603e-01	5.06871279e-02	-5.06871279e-02	-5.18047720e-02	-7.54848689e-01
166             	1.01276351e-01	1.72811778e-19	-8.06779083e-01	4.03389541e-01	3.51631224e-01	5.06381755e-02	4.54027717e-01	-3.52751366e-01	5.06381755e-02	-5.06381755e-02	-5.17583174e-02	-7.55020765e-01
167             	1.01346818e-01	1.72745796e-19	-8.06570428e-01	4.03285214e-01	3.51658764e-01	5.06734091e-02	4.53958623e-01	-3.52611805e-01	5.06734091e-02	-5.06734091e-02	-5.16264500e-02	-7.54943978e-01
168             	1.01241988e-01	1.72681567e-19	-8.06504026e-01	4.03252013e-01	3.51690509e-01	5.06209940e-02	4.53873007e-01	-3.52631019e-01	5.06209940e-02	-5.06209940e-02	-5.15615040e-02	-7.54942522e-01
169             	1.01291837e-01	1.72615084e-19	-8.06091305e-01	4.03045652e-01	3.51634325e-01	5.06459187e-02	4.53691571e-01	-3.52399734e-01	5.06459187e-02	-5.06459187e-02	-5.14113275e-02	-7.54679977e-01
170             	1.01174815e-01	1.72551574e-19	-8.05891770e-01	4.02945885e-01	3.51602534e-01	5.05874073e-02	4.53533292e-01	-3.52358478e-01	5.05874073e-02	-5.05874073e-02	-5.13433510e-02	-7.54548419e-01
171             	1.01207508e-01	1.72487363e-19	-8.05413232e-01	4.02706616e-01	3.51501753e-01	5.06037539e-02	4.53310370e-01	-3.52102862e-01	5.06037539e-02	-5.06037539e-02	-5.12048628e-02	-7.54208369e-01
172             	1.01071767e-01	1.72422446e-19	-8.05222305e-01	4.02611153e-01	3.51443961e-01	5.05358837e-02	4.53147036e-01	-3.52075269e-01	5.05358837e-02	-5.05358837e-02	-5.11671920e-02	-7.54055113e-01
173             	1.01108294e-01	1.72358149e-19	-8.04699834e-01	4.02349917e-01	3.51312603e-01	5.05541470e-02	4.52904064e-01	-3.51795770e-01	5.05541470e-02	-5.05541470e-02	-5.10373138e-02	-7.53662520e-01
