# ccx tau_xx tau_yy tau_zz cp yplus
0.331433 -5.50568e-05 -5.72132e-06 2.03354e-21 -2.97939 0.881415
0.328844 -5.51796e-05 -5.88259e-06 1.58405e-23 -3.01448 0.878138
0.326269 -5.57804e-05 -5.99125e-06 -1.59349e-23 -3.05083 0.878585
0.323707 -5.64636e-05 -6.11728e-06 -3.52536e-27 -3.08908 0.879629
0.321156 -5.71449e-05 -6.32365e-06 -2.05508e-21 -3.12919 0.880665
0.318618 -5.88876e-05 -6.50336e-06 2.06781e-21 -3.17532 0.889615
0.316094 -6.33173e-05 -6.08033e-06 2.05745e-21 -3.21868 0.920949
0.313579 -6.52008e-05 -5.6882e-06 1.05713e-21 -3.23431 0.938592
0.311076 -6.44194e-05 -5.96657e-06 3.0719e-38 -3.26712 0.929096
0.308588 -6.4858e-05 -6.05623e-06 1.64422e-23 -3.30044 0.928271
0.30611 -6.53711e-05 -6.17408e-06 -1.07313e-21 -3.33641 0.927967
0.303644 -6.60758e-05 -6.30402e-06 -9.49123e-38 -3.37416 0.928977
0.301191 -6.63004e-05 -6.72885e-06 -1.06787e-21 -3.41435 0.926834
0.298752 -7.16322e-05 -6.35511e-06 -3.21424e-40 -3.47373 0.958761
0.296321 -7.56559e-05 -5.4616e-06 -3.1821e-38 -3.47826 0.992724
0.293903 -7.44062e-05 -5.74729e-06 -1.08094e-21 -3.50375 0.982614
0.291498 -7.44971e-05 -5.84379e-06 1.08671e-21 -3.5317 0.979673
0.289105 -7.48181e-05 -5.9372e-06 -1.70511e-23 -3.56226 0.978237
0.286722 -7.53838e-05 -6.03389e-06 -1.09595e-21 -3.59439 0.978383
0.284352 -7.59607e-05 -6.20477e-06 2.88567e-27 -3.62841 0.978621
0.281996 -7.76233e-05 -6.30239e-06 2.23212e-21 -3.66799 0.985695
0.27965 -8.13528e-05 -5.88768e-06 3.67342e-39 -3.70298 1.00784
0.277314 -8.28507e-05 -5.56435e-06 -1.11689e-21 -3.71642 1.01907
0.274992 -8.23186e-05 -5.78754e-06 1.12371e-21 -3.74392 1.01259
0.272682 -8.28171e-05 -5.84489e-06 -1.1199e-21 -3.77154 1.0124
