# ccx tau_xx tau_yy tau_zz cp yplus
0.114921 -0.000101124 2.5333e-05 3.57124e-21 -2.00319 1.56686
0.113593 -9.79565e-05 2.4401e-05 0 -1.96563 1.55006
0.112273 -9.27318e-05 2.32158e-05 -3.63027e-21 -1.93484 1.51631
0.110963 -0.000105057 2.66701e-05 -9.24799e-28 -1.97155 1.62302
0.109666 -0.000118139 3.23976e-05 7.0431e-24 -1.87516 1.73426
0.108384 -0.000109878 3.10224e-05 1.81475e-21 -1.79999 1.683
0.107113 -0.000103542 2.92824e-05 -2.93874e-39 -1.74031 1.64307
0.10585 -9.9011e-05 2.80318e-05 -3.70813e-21 -1.68971 1.6158
0.104597 -9.52867e-05 2.69854e-05 -1.87106e-21 -1.64515 1.59391
0.103354 -9.20622e-05 2.60926e-05 7.37261e-24 -1.60667 1.57531
0.102119 -8.96948e-05 2.54336e-05 1.89502e-21 -1.57379 1.56332
0.100893 -8.6921e-05 2.45881e-05 7.48946e-24 -1.54138 1.54703
0.0996756 -8.2932e-05 2.37985e-05 -9.04775e-29 -1.51707 1.51985
0.0984672 -9.60289e-05 2.74996e-05 1.90026e-21 -1.54656 1.64394
0.0972726 -0.000103834 3.20351e-05 1.92036e-21 -1.44072 1.71838
0.096092 -9.26924e-05 2.87036e-05 -1.94425e-21 -1.40044 1.63248
0.0949203 -8.98785e-05 2.79078e-05 3.83363e-24 -1.35229 1.61659
0.0937573 -8.59386e-05 2.67245e-05 1.98155e-21 -1.31544 1.58948
0.0926031 -8.31794e-05 2.58929e-05 1.99938e-21 -1.28109 1.57224
0.0914575 -8.05905e-05 2.51334e-05 -2.01649e-21 -1.25211 1.55592
0.0903205 -7.88557e-05 2.46092e-05 -2.03264e-21 -1.22709 1.54719
0.0891921 -7.6557e-05 2.38683e-05 -2.0483e-21 -1.20213 1.53233
0.0880721 -7.34749e-05 2.34208e-05 0 -1.18537 1.51027
0.0869606 -8.7232e-05 2.73113e-05 3.95956e-24 -1.2143 1.6528
0.0858637 -9.56632e-05 3.24034e-05 2.03774e-21 -1.12031 1.73538
0.0847815 -8.51427e-05 2.91476e-05 2.06441e-21 -1.08318 1.64603
0.0837081 -8.24408e-05 2.83047e-05 -2.09039e-21 -1.03956 1.62873
0.082643 -7.87718e-05 2.71158e-05 2.11141e-21 -1.00588 1.60083
0.0815863 -7.63094e-05 2.63091e-05 2.13126e-21 -0.974261 1.58408
0.0805377 -7.39878e-05 2.55591e-05 9.18355e-41 -0.946802 1.56811
0.0794974 -7.22222e-05 2.49825e-05 2.16812e-21 -0.92219 1.55739
0.0784655 -7.04918e-05 2.44077e-05 -1.55753e-37 -0.899419 1.54656
0.0774422 -6.875e-05 2.40721e-05 -2.20026e-21 -0.880396 1.53594
0.0764268 -7.2889e-05 2.56166e-05 -4.38646e-21 -0.877002 1.58976
0.0754218 -7.87476e-05 2.82479e-05 4.29379e-24 -0.842501 1.65639
0.0744291 -7.63083e-05 2.79171e-05 2.20946e-21 -0.801479 1.63606
0.0734462 -7.23358e-05 2.6581e-05 4.37206e-24 -0.771816 1.60142
0.0724719 -7.00647e-05 2.5801e-05 2.26672e-21 -0.743778 1.5843
