# ccx tau_xx tau_yy tau_zz cp yplus
0.269696 -2.2761e-05 -7.9522e-07 -3.56016e-21 0.078832 0.272643
0.257819 -2.26578e-05 -8.00511e-07 2.7869e-26 0.0818763 0.272094
0.246293 -2.25656e-05 -7.98192e-07 0 0.0844066 0.271618
0.235149 -2.26015e-05 -7.96699e-07 3.9081e-21 0.0841779 0.271915
0.224342 -2.26967e-05 -8.15794e-07 -4.0181e-21 0.0848868 0.272551
0.213836 -2.28389e-05 -8.35661e-07 4.13626e-21 0.0833079 0.27347
0.203649 -2.31228e-05 -8.81891e-07 4.27256e-21 0.0824184 0.275216
0.193818 -2.309e-05 -9.13725e-07 -2.22094e-21 0.0829668 0.275082
0.184328 -2.3352e-05 -9.44654e-07 -2.29169e-21 0.0772685 0.27671
0.175136 -2.36161e-05 -1.03458e-06 -1.12005e-37 0.0770573 0.27831
0.166245 -2.42479e-05 -1.14075e-06 2.58376e-38 0.0686391 0.282058
0.157656 -2.53397e-05 -1.37991e-06 9.18355e-41 0.0689461 0.28834
0.149371 -2.5279e-05 -1.53078e-06 -5.25773e-21 0.0739287 0.288041
0.141387 -2.62932e-05 -1.70839e-06 0 0.0659255 0.293844
0.13371 -2.59127e-05 -1.90386e-06 -5.41988e-27 0.0840806 0.291771
0.126334 -2.74055e-05 -2.06593e-06 5.45601e-27 0.0621337 0.300201
0.119242 -2.83316e-05 -2.56965e-06 -6.14078e-21 0.0937399 0.305259
0.112431 -2.73981e-05 -2.51185e-06 6.39518e-21 0.0886277 0.300393
0.105896 -2.74886e-05 -2.67919e-06 -6.66414e-21 0.105228 0.301069
0.0996302 -2.74521e-05 -2.71723e-06 -1.29488e-37 0.101028 0.301092
0.0936397 -2.71331e-05 -2.8432e-06 -2.2694e-42 0.115325 0.299552
0.0879203 -2.95625e-05 -3.23566e-06 -2.9072e-26 0.0961601 0.312902
0.0824636 -3.06688e-05 -3.86357e-06 -3.99228e-21 0.132163 0.318908
0.0772605 -2.8684e-05 -3.61341e-06 0 0.134557 0.308726
0.0722977 -2.69311e-05 -3.39458e-06 7.28295e-42 0.151914 0.299467
0.0675726 -2.99817e-05 -3.79077e-06 0 0.123841 0.31628
0.0631012 -3.1925e-05 -4.70399e-06 -4.88801e-21 0.163178 0.326714
0.0588725 -2.8937e-05 -4.26773e-06 0 0.167061 0.311413
0.0548596 -2.80857e-05 -4.12919e-06 -3.58732e-42 0.177946 0.307169
0.0510732 -2.71972e-05 -4.00023e-06 -1.76359e-25 0.176734 0.302631
0.0475028 -2.84127e-05 -4.32799e-06 3.72281e-25 0.174966 0.309718
0.0441471 -2.76347e-05 -4.44066e-06 -1.99307e-25 0.186435 0.305881
0.0410015 -2.44239e-05 -3.92579e-06 -6.93057e-21 0.187869 0.28793
0.0380488 -2.2043e-05 -3.50722e-06 -2.26302e-25 0.180926 0.273869
0.0352932 -1.93011e-05 -3.06595e-06 2.42969e-25 0.171949 0.25659
0.0327232 -1.83751e-05 -2.96439e-06 2.60029e-25 0.148014 0.250712
0.0303331 -2.32702e-05 -4.07487e-06 3.10667e-30 0.122169 0.282676
0.0281209 -6.34531e-06 -1.1582e-06 2.4797e-21 0.151049 0.147917
0.0260738 -3.50996e-05 -6.35066e-06 -2.67562e-21 -0.03454 0.348291
0.246307 -3.71346e-05 -2.09308e-06 2.91677e-29 -1.17013 0.345751
0.250415 -3.56803e-05 -2.01674e-06 3.04199e-28 -1.12967 0.339011
0.254643 -3.65278e-05 -2.06081e-06 -2.47977e-21 -1.11666 0.343092
0.258994 -3.663e-05 -2.06522e-06 -4.59671e-27 -1.09388 0.34366
0.263471 -3.66267e-05 -2.12117e-06 -2.34202e-21 -1.08251 0.343714
0.268077 -3.64378e-05 -2.11592e-06 -8.68844e-27 -1.06171 0.342916
0.272813 -3.69027e-05 -2.14173e-06 -2.21475e-21 -1.05055 0.345181
0.277684 -3.74532e-05 -2.21054e-06 6.62168e-31 -1.03747 0.347831
0.282692 -3.67261e-05 -2.3332e-06 -4.18996e-21 -1.03287 0.344501
0.287838 -3.59549e-05 -2.28781e-06 1.12958e-30 -1.01043 0.340964
0.293128 -3.75225e-05 -2.3839e-06 -1.5134e-26 -1.00077 0.348414
0.298563 -3.66642e-05 -2.57295e-06 -3.86089e-21 -1.00287 0.344475
0.304144 -3.50617e-05 -2.54682e-06 2.46615e-30 -0.977758 0.336968
0.309877 -3.5945e-05 -2.60948e-06 -2.79252e-26 -0.964865 0.341294
0.315764 -3.58138e-05 -2.75528e-06 -2.72923e-29 -0.960629 0.340768
0.321806 -3.4403e-05 -2.78169e-06 -2.64944e-26 -0.94508 0.334097
0.328015 -3.4544e-05 -2.79338e-06 2.57463e-26 -0.924929 0.334903
0.334399 -3.47246e-05 -2.9131e-06 -3.28437e-21 -0.92054 0.33589
0.340954 -3.3701e-05 -2.92014e-06 -6.40087e-21 -0.905333 0.331025
0.34768 -3.39707e-05 -2.94321e-06 2.37964e-26 -0.888396 0.332476
0.35458 -3.39668e-05 -3.04418e-06 2.54609e-29 -0.884549 0.33258
0.361658 -3.32674e-05 -3.02303e-06 -5.92831e-21 -0.868958 0.329271
0.368916 -3.40401e-05 -3.10083e-06 -1.15609e-20 -0.85695 0.333207
0.376358 -3.34269e-05 -3.20129e-06 -4.30144e-26 -0.85865 0.330325
0.383993 -3.31011e-05 -3.17136e-06 -5.49056e-21 -0.835319 0.328858
0.391837 -3.36126e-05 -3.32813e-06 -5.33918e-21 -0.837131 0.331529
0.399889 -3.2635e-05 -3.32327e-06 4.27305e-37 -0.825528 0.326822
0.408141 -3.33029e-05 -3.42552e-06 -5.08191e-21 -0.810994 0.330305
0.416596 -3.24581e-05 -3.5243e-06 -3.77909e-26 -0.817714 0.326242
0.425256 -3.2513e-05 -3.53054e-06 -9.68034e-21 -0.787565 0.326688
0.434127 -3.22439e-05 -3.70852e-06 -3.60445e-26 -0.802609 0.325491
0.443223 -3.16926e-05 -3.67177e-06 9.19975e-21 -0.76968 0.322879
0.452564 -3.1706e-05 -3.84564e-06 -8.95538e-21 -0.780152 0.323114
0.462141 -3.1063e-05 -3.83107e-06 -8.74359e-21 -0.753081 0.32001
